vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.25      	8.0_64.0	1.1	0.0	33	282	2307	11	9	2	0.75	0.891	0.889	0.641	0.105	0.75	0.184	0.895
0.375     	4.0_64.0	1.1	0.0	38	34	404	16	11	5	0.704	0.922	0.898	0.626	0.528	0.704	0.603	0.472
0.375     	8.0_64.0	1.1	0.0	27	22	225	9	7	2	0.75	0.911	0.89	0.661	0.551	0.75	0.635	0.449
0.5       	4.0_64.0	1.1	0.0	64	66	732	14	11	3	0.821	0.917	0.909	0.738	0.492	0.821	0.615	0.508
0.5       	8.0_64.0	1.1	0.0	46	41	390	6	6	0	0.885	0.905	0.903	0.79	0.529	0.885	0.662	0.471
0.7_0.75  	4.0_64.0	1.1	0.0	55	20	252	11	9	2	0.833	0.926	0.908	0.759	0.733	0.833	0.78	0.267
0.7_0.75  	8.0_64.0	1.1	0.0	37	12	134	7	6	1	0.841	0.918	0.9	0.759	0.755	0.841	0.796	0.245
1.0       	4.0_64.0	1.1	0.0	55	18	136	11	9	2	0.833	0.883	0.868	0.716	0.753	0.833	0.791	0.247
1.0       	8.0_64.0	1.1	0.0	36	10	75	8	6	2	0.818	0.882	0.86	0.7	0.783	0.818	0.8	0.217
0.1_0.125 	4.0_64.0	1.1	0.1	37	2150	12946	29	25	4	0.561	0.858	0.856	0.419	0.017	0.561	0.033	0.983
0.1_0.125 	8.0_64.0	1.1	0.1	29	1436	8298	15	13	2	0.659	0.852	0.852	0.511	0.02	0.659	0.039	0.98
0.25      	4.0_64.0	1.1	0.1	41	441	4084	25	19	6	0.621	0.903	0.898	0.524	0.085	0.621	0.15	0.915
0.25      	8.0_64.0	1.1	0.1	32	261	2328	12	9	3	0.727	0.899	0.896	0.626	0.109	0.727	0.19	0.891
0.375     	4.0_64.0	1.1	0.1	38	28	410	16	11	5	0.704	0.936	0.911	0.64	0.576	0.704	0.634	0.424
0.375     	8.0_64.0	1.1	0.1	27	18	229	9	7	2	0.75	0.927	0.905	0.677	0.6	0.75	0.667	0.4
0.5       	4.0_64.0	1.1	0.1	64	52	746	14	11	3	0.821	0.935	0.925	0.756	0.552	0.821	0.66	0.448
0.5       	8.0_64.0	1.1	0.1	46	31	400	6	6	0	0.885	0.928	0.923	0.813	0.597	0.885	0.713	0.403
0.7_0.75  	4.0_64.0	1.1	0.1	55	17	255	11	9	2	0.833	0.938	0.917	0.771	0.764	0.833	0.797	0.236
0.7_0.75  	8.0_64.0	1.1	0.1	37	11	135	7	6	1	0.841	0.925	0.905	0.766	0.771	0.841	0.804	0.229
1.0       	4.0_64.0	1.1	0.1	55	16	138	11	9	2	0.833	0.896	0.877	0.729	0.775	0.833	0.803	0.225
1.0       	8.0_64.0	1.1	0.1	36	9	76	8	6	2	0.818	0.894	0.868	0.712	0.8	0.818	0.809	0.2
0.1_0.125 	4.0_64.0	1.1	0.2	37	2079	13017	29	25	4	0.561	0.862	0.861	0.423	0.017	0.561	0.033	0.983
0.1_0.125 	8.0_64.0	1.1	0.2	29	1385	8349	15	13	2	0.659	0.858	0.857	0.517	0.021	0.659	0.041	0.979
0.25      	4.0_64.0	1.1	0.2	41	404	4121	25	19	6	0.621	0.911	0.907	0.532	0.092	0.621	0.16	0.908
0.25      	8.0_64.0	1.1	0.2	32	236	2353	12	9	3	0.727	0.909	0.906	0.636	0.119	0.727	0.205	0.881
0.375     	4.0_64.0	1.1	0.2	38	25	413	16	11	5	0.704	0.943	0.917	0.647	0.603	0.704	0.65	0.397
0.375     	8.0_64.0	1.1	0.2	27	15	232	9	7	2	0.75	0.939	0.915	0.689	0.643	0.75	0.692	0.357
0.5       	4.0_64.0	1.1	0.2	64	44	754	14	11	3	0.821	0.945	0.934	0.766	0.593	0.821	0.689	0.407
0.5       	8.0_64.0	1.1	0.2	46	26	405	6	6	0	0.885	0.94	0.934	0.825	0.639	0.885	0.742	0.361
0.7_0.75  	4.0_64.0	1.1	0.2	54	17	255	12	9	3	0.818	0.938	0.914	0.756	0.761	0.818	0.788	0.239
0.7_0.75  	8.0_64.0	1.1	0.2	36	11	135	8	6	2	0.818	0.925	0.9	0.743	0.766	0.818	0.791	0.234
1.0       	4.0_64.0	1.1	0.2	55	14	140	11	9	2	0.833	0.909	0.886	0.742	0.797	0.833	0.815	0.203
1.0       	8.0_64.0	1.1	0.2	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.3	37	2003	13093	29	25	4	0.561	0.867	0.866	0.428	0.018	0.561	0.035	0.982
0.1_0.125 	8.0_64.0	1.1	0.3	29	1337	8397	15	13	2	0.659	0.863	0.862	0.522	0.021	0.659	0.041	0.979
0.25      	4.0_64.0	1.1	0.3	41	373	4152	25	19	6	0.621	0.918	0.913	0.539	0.099	0.621	0.171	0.901
0.25      	8.0_64.0	1.1	0.3	32	215	2374	12	9	3	0.727	0.917	0.914	0.644	0.13	0.727	0.221	0.87
0.375     	4.0_64.0	1.1	0.3	38	24	414	16	11	5	0.704	0.945	0.919	0.649	0.613	0.704	0.655	0.387
0.375     	8.0_64.0	1.1	0.3	27	15	232	9	7	2	0.75	0.939	0.915	0.689	0.643	0.75	0.692	0.357
0.5       	4.0_64.0	1.1	0.3	63	39	759	15	11	4	0.808	0.951	0.938	0.759	0.618	0.808	0.7	0.382
0.5       	8.0_64.0	1.1	0.3	45	23	408	7	6	1	0.865	0.947	0.938	0.812	0.662	0.865	0.75	0.338
0.7_0.75  	4.0_64.0	1.1	0.3	53	16	256	13	9	4	0.803	0.941	0.914	0.744	0.768	0.803	0.785	0.232
0.7_0.75  	8.0_64.0	1.1	0.3	36	10	136	8	6	2	0.818	0.932	0.905	0.75	0.783	0.818	0.8	0.217
1.0       	4.0_64.0	1.1	0.3	55	14	140	11	9	2	0.833	0.909	0.886	0.742	0.797	0.833	0.815	0.203
1.0       	8.0_64.0	1.1	0.3	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.4	37	1924	13172	29	25	4	0.561	0.873	0.871	0.434	0.019	0.561	0.037	0.981
0.1_0.125 	8.0_64.0	1.1	0.4	29	1288	8446	15	13	2	0.659	0.868	0.867	0.527	0.022	0.659	0.043	0.978
0.25      	4.0_64.0	1.1	0.4	41	336	4189	25	19	6	0.621	0.926	0.921	0.547	0.109	0.621	0.185	0.891
0.25      	8.0_64.0	1.1	0.4	32	193	2396	12	9	3	0.727	0.925	0.922	0.652	0.142	0.727	0.238	0.858
0.375     	4.0_64.0	1.1	0.4	38	22	416	16	11	5	0.704	0.95	0.923	0.654	0.633	0.704	0.667	0.367
0.375     	8.0_64.0	1.1	0.4	27	14	233	9	7	2	0.75	0.943	0.919	0.693	0.659	0.75	0.702	0.341
0.5       	4.0_64.0	1.1	0.4	63	30	768	15	11	4	0.808	0.962	0.949	0.77	0.677	0.808	0.737	0.323
0.5       	8.0_64.0	1.1	0.4	45	18	413	7	6	1	0.865	0.958	0.948	0.823	0.714	0.865	0.782	0.286
